profissao_tratado,valor final de profissões
administrativo,Administrativo
advogado,Advogado
agente_saude,Agente de Saúde
agronomo,Agrônomo
analista,Analista
analista_ambiental,Analista Ambiental
analista_dados,Analista de dados
analista_educacional,Analista Educacional
analista_judiciario,Analista judiciário
analista_marketing,Analista de comunicação e marketing
analista_sistemas,Analista de Sistemas
analista_social,Analista de Desenvolvimento Social
antropologo,Antropólogo
arquiteto,Arquiteto
artista,Artista
assessor_parlamentar,Assessor Parlamentar
assistente_social,Assistente Social
atuario,Atuário
auditor,Auditor
bancario,Bancário
bibliotecario,Bibliotecário
biologo,Biólogo
cientista_computacao,Cientista da Computação
cientista_dados,Cientista de dados
comercio_exterior,Analista de Comércio Exterior
compliance_analyst,Compliance Analyst
comprador,Comprador
consultor,Consultor
contador,Contador
coordenador_pedagogico,Coordenador Pedagógico
dentista,Dentista
desempregado,Desempregado
desenvolvedor,Desenvolvedor
designer,Designer
dj,Dj
do_lar,cuidador do lar
economista,Economista
empregada_publica,Empregado público
empresario,Empresário
engenheiro,Engenheiro
epidemiologista,Epidemiologista
estatistico,Estatístico
esteticista,Esteticista
estudante,Estudante
fiscal_obra,Fiscal de Obras
fisioterapeuta,Fisioterapeuta
fotografo,Fotógrafo
geografo,Geógrafo
gestao_projetos,Coordenador de projetos
gestor,Gestor
guia_turismo,Guia de turismo
informatico,Informático
internacionalista,Internacionalista
interprete_libras,Intérprete de libras
jornalista,Jornalista
maquiadora,Maquiador
medico,Médico
membro_religiao,Membro de Ordem Religiosa
militar,Militar
nutricionista,Nutricionista
oceanografa,Oceanógrafo
pedagogo,Pedagogo
pesquisador,Pesquisador
processamento_dados,Técnico em processamento de dados
producao_cultural,Produtor cultural
produtor,Produtor
professor,Professor
professor_superior,Professor ensino superior
psicologia,Psicólogo
publicitario,Publicitário
representante_comercial,Representante comercial
revisor_texto,Revisor de textos
secretaria_executiva,Secretário executivo
servidor_publico,Servidor público
servidor_publico_federal,Servidor público federal
supervisor_compras,Supervisor de compras
supervisor_pesquisa,Supervisora de pesquisa
tecnico,Técnico
turismologo,Turismólogo
